stn,yyyy,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,year
380,1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
