stn,yyyy,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,year
380,1906,32,19,36,79,126,143,171,173,133,119,71,-5,91
380,1907,12,-1,46,74,127,140,139,159,139,118,62,35,88
380,1908,-14,30,34,57,134,163,167,148,136,99,41,8,84
380,1909,3,-2,32,90,115,131,143,165,127,112,30,32,82
380,1910,31,39,51,78,120,159,150,161,129,108,33,56,93
380,1911,-4,28,52,72,135,145,191,199,152,94,58,56,98
380,1912,25,53,72,78,124,152,181,139,98,78,44,56,92
380,1913,34,33,72,85,127,142,139,150,136,112,84,27,95
380,1914,-17,60,58,105,110,138,171,172,132,93,46,52,93
380,1915,23,33,34,69,129,162,157,155,130,74,22,58,87
380,1916,55,28,46,84,134,120,151,163,131,99,56,27,91
380,1917,-16,-24,17,42,156,178,167,162,150,77,66,-11,80
380,1918,32,42,48,79,142,130,162,162,134,87,44,58,93
380,1919,20,6,40,58,136,147,136,167,148,62,20,39,82
380,1920,40,57,76,92,134,152,163,143,134,90,31,22,95
380,1921,59,27,69,83,135,146,188,169,148,136,6,26,99
380,1922,6,22,41,59,143,155,152,153,119,58,38,42,82
380,1923,31,45,65,80,108,113,191,163,137,109,29,6,90
380,1924,12,-2,37,69,141,152,164,140,139,105,51,35,87
380,1925,38,48,25,82,138,148,178,162,112,96,21,20,89
380,1926,25,72,54,99,104,135,173,165,159,85,73,11,96
380,1927,37,31,69,80,117,138,171,167,141,101,45,-10,91
380,1928,39,47,52,83,104,142,182,167,129,99,71,19,95
380,1929,-19,-50,47,56,132,142,176,170,168,99,66,56,87
380,1930,56,18,58,91,117,179,157,167,138,102,73,25,98
380,1931,23,10,31,71,143,162,167,154,109,85,74,20,87
380,1932,40,-1,29,71,124,149,172,196,152,93,52,43,93
380,1933,2,24,73,85,118,146,182,179,149,98,34,-32,88
380,1934,20,22,43,109,124,159,179,169,168,111,46,75,102
380,1935,17,37,51,76,106,168,180,173,144,93,74,24,95
380,1936,51,20,69,55,124,161,162,170,143,75,49,31,93
380,1937,38,48,33,84,143,157,168,168,136,111,44,14,95
380,1938,36,26,82,54,108,158,164,174,150,95,88,8,95
380,1939,47,36,39,94,114,162,167,173,140,78,79,9,95
380,1940,-58,3,55,89,129,162,157,151,131,89,71,-3,81
380,1941,-24,22,53,68,94,164,186,148,142,90,47,35,85
380,1942,-51,-47,48,94,121,147,160,182,153,121,46,45,85
380,1943,32,39,65,106,134,140,174,174,137,112,45,15,98
380,1944,48,0,24,99,116,139,168,194,131,91,59,23,91
380,1945,-31,61,74,100,142,162,181,160,147,112,46,34,99
380,1946,3,45,46,102,126,141,177,160,148,89,65,-1,92
380,1947,-10,-41,46,102,152,175,191,199,172,98,66,34,99
380,1948,57,25,77,97,130,151,161,164,144,94,58,41,100
380,1949,37,41,38,111,114,141,175,173,176,117,50,42,101
380,1950,12,60,65,75,132,179,180,177,131,92,59,-15,96
380,1951,42,41,42,75,116,151,169,167,152,82,86,45,97
380,1952,20,15,59,112,136,157,179,175,110,83,32,15,91
380,1953,5,16,50,93,135,155,169,169,144,117,66,55,98
380,1954,-10,2,66,66,128,151,143,158,137,116,69,52,90
380,1955,10,1,20,87,105,151,176,175,144,89,59,49,89
380,1956,24,-76,58,62,131,128,168,145,152,97,45,55,82
380,1957,29,59,90,84,102,166,181,157,131,107,62,28,100
380,1958,26,45,26,63,130,150,170,175,161,108,53,48,96
380,1959,19,14,79,106,132,166,195,177,155,111,58,47,105
380,1960,23,37,64,88,135,163,151,161,133,107,78,27,97
380,1961,19,69,75,112,109,156,154,163,177,120,50,22,102
380,1962,36,22,18,83,100,144,151,158,131,102,44,-3,82
380,1963,-54,-36,53,94,113,158,172,156,142,98,89,-14,81
380,1964,3,39,30,92,146,163,179,166,148,77,62,20,94
380,1965,26,6,48,76,120,154,148,156,132,99,32,44,87
380,1966,-3,65,46,92,132,169,154,159,138,115,38,40,95
380,1967,30,49,66,71,128,146,188,167,144,122,45,19,98
380,1968,17,16,60,98,110,154,164,165,143,119,50,0,91
380,1969,45,-3,36,81,132,149,184,170,143,121,64,-10,93
380,1970,19,13,28,60,127,174,160,171,147,105,80,19,92
380,1971,27,33,23,85,144,143,180,177,134,103,48,50,96
380,1972,11,44,70,76,116,139,173,157,117,85,57,40,90
380,1973,26,24,52,63,126,170,175,187,152,89,54,26,95
380,1974,57,44,62,92,115,151,157,171,133,65,65,67,98
380,1975,64,33,45,77,112,149,181,195,156,83,47,19,97
380,1976,37,31,36,74,137,188,201,178,142,116,65,13,102
380,1977,29,53,74,64,118,147,168,163,131,119,64,48,98
380,1978,27,13,63,73,121,149,155,154,132,107,54,25,89
380,1979,-32,-3,52,77,122,159,163,155,139,110,56,55,88
380,1980,2,51,50,75,117,147,155,171,152,89,43,28,90
380,1981,20,10,88,85,137,152,168,169,150,90,65,7,95
380,1982,13,35,54,78,128,165,188,174,164,113,78,35,102
380,1983,56,0,57,89,107,165,204,183,143,104,60,37,100
380,1984,33,20,41,78,102,141,162,177,132,115,86,38,94
380,1985,-35,-11,41,87,135,137,176,162,147,104,24,56,85
380,1986,23,-48,49,62,138,168,176,162,114,118,79,46,91
380,1987,-35,18,25,112,102,143,173,164,156,113,56,39,89
380,1988,61,38,48,91,147,150,164,174,139,112,55,64,104
380,1989,42,51,87,74,150,158,187,179,157,126,52,46,109
380,1990,49,76,82,82,146,152,173,194,126,123,59,29,108
380,1991,28,-6,87,82,103,132,191,186,160,101,53,30,96
380,1992,20,46,68,88,153,166,187,185,147,76,75,35,104
380,1993,50,10,61,115,149,168,170,159,133,90,21,51,98
380,1994,45,23,77,87,129,164,222,183,137,97,99,56,110
380,1995,35,65,52,91,135,150,212,204,140,136,64,2,107
380,1996,9,7,33,99,111,165,169,176,124,107,54,1,88
380,1997,-11,63,84,80,131,162,174,209,146,97,64,48,104
380,1998,43,59,72,91,153,164,164,174,149,96,35,43,104
380,1999,52,25,74,101,149,157,198,181,181,106,56,42,110
380,2000,37,57,66,106,152,171,153,184,161,113,80,54,111
380,2001,32,46,62,83,150,157,191,195,129,144,57,20,106
380,2002,42,70,74,95,138,175,179,185,143,103,84,40,111
380,2003,20,18,84,102,140,194,196,206,154,76,82,40,109
