conc_Thiacloprid,conc_Flonicamid,conc_Acetamiprid,conc_Cymoxanil,conc_Propamocarb,conc_Oxathiapiprolin,conc_Chlorantraniliprole,conc_Mandipropamid,conc_Fluopicolide,conc_Fluxapyroxad,conc_Boscalid,conc_Flutolanil,conc_Terbuthylazine,conc_Pyrimethanil,conc_Metobromuron,conc_Metribuzin,conc_Pyraclostrobin,conc_Prothioconazole,conc_Dodine,conc_Indoxacarb,conc_Trifloxystrobin,conc_Difenoconazole,conc_Isopyrazam,conc_Prosulfocarb,conc_Bixafen,conc_Carfentrazone-ethyl,conc_Epoxiconazole,conc_Cyazofamid,conc_Dimethomorph,conc_Cyflufenamid,an_name,pest_ID,samp_type,week,conc_Glyphosate,conc_AMPA
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,278.5714285714286,-999,-999,-999,-999,-999,60.888888888888886,-999,-999,-999,-999,-999,20190315_S_1_2-LC,10001,S,04,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20190315_W_1-LC,10001,W,03,-999,-999
-999,-999,-999,-999,-999,-999,-999,544,17.3,-999,-999,64.3,-999,-999,1250,146.66666666666666,-999,-999,-999,-999,-999,-999,38.888888888888886,1320,70.88888888888889,-999,40.77777777777778,-999,-999,-999,20190510_S_1_9-LC,10002,S,12,1900,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,45.7,11.222222222222221,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20190510_W_1_9-LC,10002,W,03,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,8.01,-999,-999,16.9,-999,-999,568,52.666666666666664,-999,-999,-999,-999,-999,-999,25,769,45.33333333333333,-999,19.555555555555557,-999,-999,-999,20190528_S_1-LC,10003,S,18,437.49999999999994,446.25
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,57.9,6.877777777777778,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20190528_W_1-LC,10003,W,12,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,6.97,-999,-999,19.1,-999,-999,311,39.111111111111114,-999,-999,-999,-999,-999,-999,20.999999999999996,492,40.22222222222222,-999,16.77777777777778,-999,-999,-999,20190528_S_2-LC,10004,S,12,416.25,386.25
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20.7,3.5888888888888886,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20190528_W_2-LC,10004,W,04,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,7.25,-999,-999,17.9,-999,-999,397,38.888888888888886,-999,-999,-999,-999,-999,-999,21.222222222222225,513,39,-999,16.555555555555557,-999,-999,-999,20190528_S_3-LC,10005,S,12,412.5,497.5
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,22.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20190528_W_3-LC,10005,W,04,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,11.9,-999,-999,20.9,-999,-999,420,50.55555555555556,-999,-999,-999,-999,-999,-999,32.11111111111111,537,57.77777777777778,-999,26.77777777777778,-999,-999,-999,20190528_S_4-LC,10006,S,12,549.9999999999999,598.7499999999999
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27.3,3.488888888888889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20190528_W_4-LC,10006,W,04,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,10.7,-999,-999,16.9,-999,-999,454,48.666666666666664,-999,-999,-999,-999,-999,-999,27.444444444444443,625,48.77777777777777,-999,23.333333333333332,-999,-999,-999,20190528_S_5-LC,10007,S,12,588.7499999999999,551.25
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20190528_W_5-LC,10007,W,04,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,11.6,-999,-999,15.8,-999,-999,546,46.99999999999999,-999,-999,-999,-999,-999,-999,28.22222222222222,793,50,-999,24.555555555555557,-999,-999,-999,20190528_S_6-LC,10008,S,12,772.5,714.9999999999999
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,34.6,4.311111111111111,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20190528_W_6-LC,10008,W,04,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,12.5,11.11111111111111,-999,14.3,-999,-999,573,52.44444444444444,-999,-999,-999,-999,-999,-999,30.555555555555554,817,52.77777777777778,-999,26.888888888888886,-999,-999,-999,20190528_S_7-LC,10009,S,18,851.2500000000001,787.5
